pos	char_start	char_end	token_id	uid	token_str	tail	fp_hex	hd_token_fp	is_green	n_attacked_chars_in_prev_window	attacked_chars_in_prev_window
0	0	0	128000	6504730	<|begin_of_text|>		c6721592728fce9a514b74ac0937e7ab49902c84af6de29832d18d12eb739e27	117	1	0	
1	0	5	6153	7687963	After		c6721592728fce9a514b74ac0937e7ab49902c84af6de29832d18d12eb739e27	143	0	0	
2	5	9	279	6697793	 the	After	8e4cadebebf1163009a30ea1b6790af4d4e9b0ef92512306d651d92489968fc0	125	1	0	
3	9	16	90408	7554624	 martyr	After the	8e05a9aae34136500df222bda63998acde79e0e7135071a29633bc2cc98ac2f8	140	0	0	
4	16	19	5717	7227968	dom	After the martyr	bb25e0aa7255341499f26b81c239982566f8e1e70120e022c623e0a60bd982f0	129	0	0	
5	19	22	315	16934869	 of	fter the martyrdom	bb25f9a0725616529dde3f90e339aa4546f0e1631220f23ac637e08e4b5980f0	126	1	0	
6	22	25	800	16938439	 St	r the martyrdom of	bba5f0b072565252954b6d80e1f9aa4566f0f0630a20c29ae627c2879bd38070	123	1	0	
7	25	26	13	16974382	.	he martyrdom of St	b181f0b17257987e1f43458641e90a5066b2b26ba820d6f8a626c215ab958842	118	1	0	
8	26	30	13789	7293983	 Bon	e martyrdom of St.	b181f4b172558c571bc3440661692b526290d07bac20d7baa6a7c21dab818c52	130	0	0	
9	30	35	53774	6433072	iface	rtyrdom of St. Bon	a5818cb170db895719e1c48e250922d840d2f27fd8829bc822a6851db306a886	122	1	0	
10	35	36	11	16974380	,	om of St. Boniface	a58304907ceb88df03f2c4c635092ad9c054f47cddaacbca3eaaa515f25c2e84	129	0	0	
11	36	41	52409	7555629	 Verg	m of St. Boniface,	a58205507eea0cf427f2c40eb5096a5cc454f46cddaa83ca36aa8915f37c2ec4	132	0	0	
12	41	44	4008	6963006	ili	St. Boniface, Verg	a6e531646a4a8cbb27a3f4203104a06f0418bc40babb014a22a80a15927d2a6c	134	0	0	
13	44	46	355	16938216	us	 Boniface, Vergili	86e3b1402f2a8c9a87b7f420714d284784112c403a3a550b2aa8005eb06c0a08	137	0	0	
14	46	50	574	7620683	 was	oniface, Vergilius	8ec191312a2a8ca68637d620b105284604190c503b1a750b2ba8645eb864682c	127	1	0	
15	50	55	1903	6629938	 made	ace, Vergilius was	4c81932aa82a8e80f7bd55823915a8d661682a403b3ad0cb2baa64ff2846ca3c	131	0	0	
